place_name,state,postcode,latitude,longitude,lga_name,category
Banora Point,New South Wales,2486,-28.22161657,153.5367787,Tweed,Regional centres and other regional areas
Banyabba,New South Wales,2460,-29.3720273,152.93412087,Clarence Valley,Regional centres and other regional areas
Bar Beach,New South Wales,2300,-32.93896282,151.76863174,Newcastle,Cities and major regional centres
Bara,New South Wales,2850,-32.57249148,149.83009165,Mid-Western,Regional centres and other regional areas
Baradine,New South Wales,2396,-30.92910423,149.05828694,Warrumbungle,Regional centres and other regional areas
Barcoongere,New South Wales,2460,-29.90026975,153.20230344,Clarence Valley,Regional centres and other regional areas
Barellan,New South Wales,2665,-34.18294951,146.59566324,Narrandera,Regional centres and other regional areas
Bargo,New South Wales,2574,-34.28405523,150.58706254,Wollondilly,Cities and major regional centres
Barham,New South Wales,2732,-35.60035472,144.21510758,Murray River,Regional centres and other regional areas
Barigan,New South Wales,2850,-32.51870839,149.98111406,Mid-Western,Regional centres and other regional areas
Barkers Vale,New South Wales,2474,-28.53312768,153.11917942,Kyogle,Regional centres and other regional areas
Barmedman,New South Wales,2668,-34.10772773,147.41877987,Bland,Regional centres and other regional areas
Barneys Reef,New South Wales,2852,-32.17729842,149.50421155,Mid-Western,Regional centres and other regional areas
Barnsley,New South Wales,2278,-32.9279068,151.58490692,Lake Macquarie,Cities and major regional centres
Barraba,New South Wales,2347,-30.36048177,150.5495939,Tamworth,Regional centres and other regional areas
Barrack Heights,New South Wales,2528,-34.56305275,150.85450823,Shellharbour,Cities and major regional centres
Barrack Point,New South Wales,2528,-34.56318845,150.86930867,Shellharbour,Cities and major regional centres
Barraganyatti,New South Wales,2441,-30.87627106,152.92537445,Kempsey,Regional centres and other regional areas
Barragga Bay,New South Wales,2546,-36.50418124,150.05200861,Bega Valley,Regional centres and other regional areas
Barratta (NSW),New South Wales,2710,-35.18923523,144.52984157,Edward River,Regional centres and other regional areas
Barren Grounds,New South Wales,2577,-34.69025401,150.72305574,Shoalhaven,Regional centres and other regional areas
Barrengarry,New South Wales,2577,-34.688622,150.52993604,Shoalhaven,Regional centres and other regional areas
Barretts Creek,New South Wales,2460,-29.36404648,152.75079711,Clarence Valley,Regional centres and other regional areas
Barringella,New South Wales,2540,-34.9117445,150.46263232,Shoalhaven,Regional centres and other regional areas
Barrington (NSW),New South Wales,2422,-31.99495468,151.89559446,Mid-Coast,Regional centres and other regional areas
Barrington Tops,New South Wales,2422,-31.95890254,151.52770341,Mid-Coast,Regional centres and other regional areas
Barry (Blayney - NSW),New South Wales,2799,-33.64699875,149.26684857,Blayney,Regional centres and other regional areas
Barry (Tamworth Regional - NSW),New South Wales,2340,-31.59993745,151.28378209,Tamworth,Regional centres and other regional areas
Barwang,New South Wales,2594,-34.44558315,148.47802022,Hilltops,Regional centres and other regional areas
Baryulgil,New South Wales,2460,-29.2187622,152.59858357,Clarence Valley,Regional centres and other regional areas
Basin View,New South Wales,2540,-35.09349509,150.54755447,Shoalhaven,Regional centres and other regional areas
Bassendean (NSW),New South Wales,2365,-30.06155798,151.18618465,Inverell,Regional centres and other regional areas
Batar Creek,New South Wales,2439,-31.67024872,152.67457527,Port Macquarie-Hastings,Regional centres and other regional areas
Bateau Bay,New South Wales,2261,-33.38621047,151.47251766,Central Coast (NSW),Regional centres and other regional areas
Batehaven,New South Wales,2536,-35.73759755,150.19831666,Eurobodalla,Regional centres and other regional areas
Batemans Bay,New South Wales,2536,-35.70610425,150.15728978,Eurobodalla,Regional centres and other regional areas
Bathampton,New South Wales,2795,-33.49369682,149.41364133,Bathurst,Regional centres and other regional areas
Bathurst,New South Wales,2795,-33.41927064,149.57750931,Bathurst,Regional centres and other regional areas
Batlow,New South Wales,2730,-35.54500619,148.14662327,Snowy Valleys,Regional centres and other regional areas
